year,cbsa,GEO_ID,CONTROL,LAG_2,LAG_1,TARGET,REMOTE_x,REMOTE_PPL_x,Computer_x,WirelessDevice_x,Cellular_x,CableFiber_x,SatelliteInternet_x,dist_to_cbd_x,covid,REMOTE_y,REMOTE_PPL_y,Computer_y,WirelessDevice_y,Cellular_y,CableFiber_y,SatelliteInternet_y,dist_to_cbd_y,REMOTE,REMOTE_PPL,Computer,WirelessDevice,Cellular,CableFiber,SatelliteInternet,dist_to_cbd
2022,49340,1608.0,SCP_PPL1Y,0.6628571428571428,0.726643598615917,0.6258503401360545,0.3310628758513428,87,0.769,0.069,0.85,0.731,0.048,5.412741951172768,1,0.3310628758513428,87,0.769,0.069,0.85,0.731,0.048,5.412741951172768,0.3310628758513428,87,0.769,0.069,0.85,0.731,0.048,5.412741951172768
2017,49340,1609.0,SCP_PPL1Y,0.4470588235294117,0.4680851063829787,0.4764397905759162,0.4084052367155025,414,0.752,0.042,0.455,0.688,0.023,8.133579805007283,0,0.4084052367155025,414,0.752,0.042,0.455,0.688,0.023,8.133579805007283,0.4084052367155025,414,0.752,0.042,0.455,0.688,0.023,8.133579805007283
2018,49340,1609.0,SCP_PPL1Y,0.4680851063829787,0.4764397905759162,0.4624277456647399,0.4094956512997887,475,0.732,0.037,0.5579999999999999,0.657,0.023,8.133579805007283,0,0.4094956512997887,475,0.732,0.037,0.5579999999999999,0.657,0.023,8.133579805007283,0.4094956512997887,475,0.732,0.037,0.5579999999999999,0.657,0.023,8.133579805007283
2019,49340,1609.0,SCP_PPL1Y,0.4764397905759162,0.4624277456647399,0.4585365853658537,0.3843284329248199,386,0.722,0.045,0.642,0.6609999999999999,0.019,8.133579805007283,0,0.3843284329248199,386,0.722,0.045,0.642,0.6609999999999999,0.019,8.133579805007283,0.3843284329248199,386,0.722,0.045,0.642,0.6609999999999999,0.019,8.133579805007283
2020,49340,1609.0,SCP_PPL1Y,0.4624277456647399,0.4585365853658537,0.515625,0.3916447320308963,321,0.721,0.055,0.7020000000000001,0.667,0.018,8.133579805007283,1,0.3916447320308963,321,0.721,0.055,0.7020000000000001,0.667,0.018,8.133579805007283,0.3916447320308963,321,0.721,0.055,0.7020000000000001,0.667,0.018,8.133579805007283
2021,49340,1609.0,SCP_PPL1Y,0.4585365853658537,0.515625,0.4632034632034631,0.3959180160850556,421,0.732,0.045,0.7759999999999999,0.7040000000000001,0.023,8.133579805007283,1,0.3959180160850556,421,0.732,0.045,0.7759999999999999,0.7040000000000001,0.023,8.133579805007283,0.3959180160850556,421,0.732,0.045,0.7759999999999999,0.7040000000000001,0.023,8.133579805007283
2022,49340,1609.0,SCP_PPL1Y,0.515625,0.4632034632034631,0.4897119341563786,0.4126257384179801,492,0.763,0.0409999999999999,0.812,0.73,0.027,8.133579805007283,1,0.4126257384179801,492,0.763,0.0409999999999999,0.812,0.73,0.027,8.133579805007283,0.4126257384179801,492,0.763,0.0409999999999999,0.812,0.73,0.027,8.133579805007283
2017,49340,1610.0,SCP_PPL1Y,0.7282051282051282,0.6961325966850828,0.6740331491712708,0.298291022424027,335,0.608,0.033,0.397,0.56,0.019,7.590743756171195,0,0.298291022424027,335,0.608,0.033,0.397,0.56,0.019,7.590743756171195,0.298291022424027,335,0.608,0.033,0.397,0.56,0.019,7.590743756171195
2018,49340,1610.0,SCP_PPL1Y,0.6961325966850828,0.6740331491712708,0.6785714285714287,0.3012843262960973,359,0.599,0.036,0.5329999999999999,0.544,0.018,7.590743756171195,0,0.3012843262960973,359,0.599,0.036,0.5329999999999999,0.544,0.018,7.590743756171195,0.3012843262960973,359,0.599,0.036,0.5329999999999999,0.544,0.018,7.590743756171195
2019,49340,1610.0,SCP_PPL1Y,0.6740331491712708,0.6785714285714287,0.5649717514124294,0.309617607798186,373,0.5760000000000001,0.0409999999999999,0.642,0.557,0.023,7.590743756171195,0,0.309617607798186,373,0.5760000000000001,0.0409999999999999,0.642,0.557,0.023,7.590743756171195,0.309617607798186,373,0.5760000000000001,0.0409999999999999,0.642,0.557,0.023,7.590743756171195
2020,49340,1610.0,SCP_PPL1Y,0.6785714285714287,0.5649717514124294,0.4974093264248705,0.306534367932593,303,0.56,0.044,0.706,0.5710000000000001,0.012,7.590743756171195,1,0.306534367932593,303,0.56,0.044,0.706,0.5710000000000001,0.012,7.590743756171195,0.306534367932593,303,0.56,0.044,0.706,0.5710000000000001,0.012,7.590743756171195
2021,49340,1610.0,SCP_PPL1Y,0.5649717514124294,0.4974093264248705,0.492822966507177,0.32636339813952,341,0.593,0.044,0.7659999999999999,0.622,0.023,7.590743756171195,1,0.32636339813952,341,0.593,0.044,0.7659999999999999,0.622,0.023,7.590743756171195,0.32636339813952,341,0.593,0.044,0.7659999999999999,0.622,0.023,7.590743756171195
2022,49340,1610.0,SCP_PPL1Y,0.4974093264248705,0.492822966507177,0.5141509433962264,0.335731012062637,426,0.627,0.044,0.78,0.65,0.0289999999999999,7.590743756171195,1,0.335731012062637,426,0.627,0.044,0.78,0.65,0.0289999999999999,7.590743756171195,0.335731012062637,426,0.627,0.044,0.78,0.65,0.0289999999999999,7.590743756171195
2017,14460,2108.0,SCP_PPL1Y,0.4115646258503401,0.4389312977099237,0.3831775700934579,0.6355852833042506,476,0.972,0.083,0.529,0.933,0.0139999999999999,6.393519561537347,0,0.6355852833042506,476,0.972,0.083,0.529,0.933,0.0139999999999999,6.393519561537347,0.6355852833042506,476,0.972,0.083,0.529,0.933,0.0139999999999999,6.393519561537347
2018,14460,2108.0,SCP_PPL1Y,0.4389312977099237,0.3831775700934579,0.3333333333333333,0.6175679378184952,449,0.945,0.08,0.68,0.873,0.02,6.393519561537347,0,0.6175679378184952,449,0.945,0.08,0.68,0.873,0.02,6.393519561537347,0.6175679378184952,449,0.945,0.08,0.68,0.873,0.02,6.393519561537347
